"","Keratinocytes","Clara.cells","Epithelial","Airway.Multiciliated.Cells","Brush.cells","Undefined"
"Mrpl15",0.424651709,0.361188732,0.298446363,0.319837587,0.356036866,0.580555556
"Lypla1",0.446477955,0.194039437,0.177879162,0.217795824,0.198617512,0.463888889
"Tcea1",0.172825463,0.070202817,0.09377312,0.120951276,0.141152074,0.25
"Atp6v1h",0.258460736,0.270619718,0.196646116,0.384547564,0.422764977,0.314126984
"Rb1cc1",0.145037829,0.162850704,0.097163995,0.237587007,0.151705069,0.136349206
"4732440D04Rik",0.020138273,0.01428169,0.005462392,0.020185615,0.014792627,0
"St18",0.000813984,0.001025352,0.000937115,0.003410673,0.273225806,0
"Pcmtd1",0.147380642,0.17491831,0.094944513,0.130185615,0.164147465,0.148412698
"Rrs1",0.258398122,0.152152113,0.129963009,0.175429234,0.235852535,0.342539683
"Adhfe1",0.005896165,0.001374648,0.009038224,0.138422274,0.109078341,0
"Vcpip1",0.054122098,0.068416901,0.059679408,0.072575406,0.050552995,0.064126984
"Sgk3",0.106926689,0.067092958,0.034229346,0.033085847,0.104470046,0.158888889
"Mcmdc2",0.007357161,0.014585915,0.006078915,0.013155452,0.010599078,0.030634921
"Snhg6",0.150913123,0.160219718,0.10782984,0.096658933,0.322258065,0.101746032
"Ppp1r42",0.001682755,0.000884507,0.002404439,0.159837587,0,0
"Cops5",0.599642578,0.421216901,0.42458693,0.938051044,0.505760369,0.772222222
"Cspp1",0.107221498,0.108208451,0.086868064,0.703990719,0.129631336,0.189365079
"Arfgef1",0.129569528,0.211070423,0.134217016,0.322645012,0.30562212,0.137619048
"A830018L16Rik",0.000341769,0,0,0.135823666,0,0
"Sulf1",0.038442473,0.009228169,0.012367448,0.002993039,0.100368664,0.031111111
"Ncoa2",0.058416384,0.073369014,0.054340321,0.087076566,0.089907834,0.030793651
"Tram1",0.449311244,0.566028169,0.451196054,0.48099768,0.826912442,0.523888889
"Lactb2",0.076929298,0.098957746,0.073168927,0.109141531,0.169447005,0.040555556
"Eya1",0.057605009,0.060247887,0.054438964,0.04774942,0.125576037,0.085
"Kcnb2",0.010028698,0.004169014,0.005437731,0.003596288,0.108571429,0.019920635
"Terf1",0.31397078,0.185256338,0.186325524,0.165197216,0.128940092,0.957142857
"4930444P10Rik",0.001724498,0.002321127,0.003070284,0.795522042,0,0
"Rpl7",1.109441691,0.685442254,0.507053021,0.516983759,0.953640553,1.008253968
"Rdh10",0.235820506,0.559746479,0.649432799,0.261577726,0.074101382,0.197142857
"Stau2",0.073334203,0.067780282,0.06649815,0.089419954,0.234930876,0.05952381
"Ube2w",0.294051657,0.180197183,0.144389642,0.146960557,0.375668203,0.162380952
"Tmem70",0.422561962,0.225504225,0.26567201,0.32424594,0.366497696,0.472063492
"Ly96",0.013869032,0.041797183,0.016078915,0.020765661,0.021751152,0.013333333
"Jph1",0.008025046,0.011515493,0.004167694,0.005011601,0.027327189,0
"Mcm3",0.030691364,0.014659155,0.010986436,0.006589327,0,0.27515873
"Paqr8",0.031207931,0.071121127,0.01837238,0.002018561,0.011658986,0.008412698
"Efhc1",0.010756588,0.006219718,0.005819975,0.937308585,0.008801843,0.028968254
"Tmem14a",0.120258283,0.079701408,0.072688039,0.22512761,0.27,0.092777778
"Gsta3",3.159011218,3.11211831,3.084710234,2.63575406,0.636589862,3.031031746
"Gm29107",0.053310723,0.02684507,0.05701603,0.054663573,0.036543779,0.024206349
"Ogfrl1",0.12096791,0.094788732,0.102355117,0.079698376,0.558709677,0.183730159
"B3gat2",0.003065484,0.001447887,0,0,0.145529954,0.009444444
"Smap1",0.347693712,0.400777465,0.279827374,0.327726218,0.548847926,0.463650794
"Sdhaf4",0.28113749,0.366247887,0.230234279,0.653897912,0.700414747,0.290555556
"Fam135a",0.028040699,0.029943662,0.015561036,0.032227378,0.083456221,0.031428571
"Lmbrd1",0.34273676,0.284157746,0.285215783,0.457192575,0.254884793,0.303888889
"Phf3",0.243412471,0.221138028,0.1551418,0.399976798,0.22281106,0.177698413
"Ptp4a1",0.147114532,0.236112676,0.133119605,0.068607889,0.068940092,0.149285714
"Prim2",0.03455257,0.019538028,0.016140567,0.04675174,0.018571429,0.181507937
"Rab23",0.042332377,0.027802817,0.032268804,0.469280742,0.076912442,0.044365079
"Bag2",0.184549961,0.235667606,0.229136868,0.659303944,0.200046083,0.117301587
"Zfp451",0.065100444,0.063504225,0.041294698,0.051276102,0.137327189,0.085634921
"Dst",0.629780851,0.11736338,0.116806412,0.247679814,0.440552995,0.478650794
"Ccdc115",0.316717975,0.224016901,0.185388409,0.232018561,0.470046083,0.368571429
"Imp4",0.375515262,0.24291831,0.284932182,0.22737819,0.343087558,0.513095238
"Ptpn18",0.276947561,0.565791549,0.632848335,0.297192575,2.600506912,0.235
"Arhgef4",0.023216801,0.024157746,0.007459926,0.081786543,0.026129032,0.016349206
"Fam168b",0.188066788,0.188084507,0.148051788,0.213897912,0.230552995,0.269761905
"Plekhb2",0.271382729,0.381385915,0.310443896,0.366264501,0.507834101,0.222777778
"Hs6st1",0.172413253,0.112174648,0.107755857,0.159466357,0.243917051,0.123492063
"Uggt1",0.108904253,0.101211268,0.114562269,0.248816705,0.228156682,0.156507937
"Arid5a",0.137907644,0.040456338,0.192799014,0.205058005,0.256820276,0.278650794
"Kansl3",0.064607357,0.090535211,0.070369914,0.148909513,0.222488479,0.104206349
"Lman2l",0.157777198,0.12828169,0.155289766,0.242993039,0.492534562,0.192936508
"Cnnm4",0.036430994,0.028377465,0.042860666,0.07638051,0.063640553,0.041825397
"Cnnm3",0.022027133,0.047391549,0.02540074,0.036218097,0.02718894,0.016666667
"Ankrd39",0.103409862,0.006315493,0.063279901,0.122412993,0.117235023,0.172222222
"Sema4c",0.062835899,0.026974648,0.033933416,0.026403712,0.050322581,0.067142857
"Fam178b",0.009898252,0.003853521,0.002909988,0.012969838,0.010829493,0.03047619
"Cox5b",1.405914427,1.162,1.004019729,1.447865429,2.123640553,1.813333333
"Actr1b",0.300099139,0.252991549,0.272466091,0.481531323,0.362258065,0.486666667
"Tmem131",0.095497,0.091476056,0.069778052,0.230324826,0.105437788,0.123095238
"Vwa3b",0.000566136,0.002005634,0.000912454,0.194733179,0.007788018,0.01
"Inpp4a",0.0207018,0.016202817,0.017620222,0.100440835,0.024700461,0.01
"Coa5",0.080260892,0.106676056,0.082811344,0.089118329,0.104930876,0.09047619
"Unc50",0.546597965,0.585397183,0.42405672,0.400301624,0.814009217,0.573968254
"Mgat4a",0.387244978,0.242625352,0.245635018,0.167610209,0.176635945,0.40031746
"2010300C02Rik",0.044453431,0.204416901,0.195363748,0.872784223,0.187695853,0.108015873
"Tsga10",0.022723715,0.013695775,0.013477189,0.261740139,0.050737327,0.022857143
"Lipt1",0.029003392,0.026056338,0.017632552,0.020858469,0.035437788,0.047301587
"Mitd1",0.330125228,0.213769014,0.205326757,0.175243619,0.195023041,0.36015873
"Mrpl30",1.080404383,0.925273239,0.740110974,0.742946636,1.624608295,1.248095238
"Txndc9",0.549984346,0.640760563,0.481800247,0.622412993,0.918156682,0.590079365
"Eif5b",0.622642839,0.640107042,0.507546239,0.527354988,0.748617512,0.834126984
"Rev1",0.046230107,0.033335211,0.034697904,0.044431555,0.079170507,0.074444444
"Aff3",0.001492304,0.00388169,0,0.090904872,0.019032258,0.007777778
"Pdcl3",1.078325072,0.676360563,0.676917386,0.849118329,0.768986175,1.392857143
"Npas2",0.035963997,0.054078873,0.018323058,0.026960557,0.010829493,0.01984127
"Rpl31",0.288539003,0.14435493,0.155425401,0.096844548,0.272211982,0.198015873
"Tbc1d8",0.100993999,0.042067606,0.037447596,0.034756381,0.062857143,0.03515873
"Cnot11",0.152992434,0.13176338,0.136905055,0.192436195,0.249907834,0.244761905
"Rnf149",0.239110357,0.286039437,0.217422935,0.288027842,0.382949309,0.221031746
"Map4k4",0.091789721,0.095042254,0.050690506,0.085661253,0.270460829,0.160873016
"Il1r1",0.05101748,0.063769014,0.025918619,0.035846868,0.012857143,0.026190476
"Il1rl2",0.079681711,0.072602817,0.032059186,0.114593968,0.024516129,0.082777778
"Il18r1",0.214803026,0.360839437,0.124944513,0.47099768,0.089493088,0.264444444
"Slc9a4",0,0.070957746,0.022108508,0.008654292,0.017419355,0
"Slc9a2",0.010216541,0.016197183,0.004290999,0.003155452,0.026589862,0
"Mfsd9",0.010005218,0.027385915,0.017928483,0.010788863,0.050138249,0
"Mrps9",0.329986955,0.206321127,0.160221948,0.225893271,0.350645161,0.278492063
"Tgfbrap1",0.028312027,0.047842254,0.045511714,0.070301624,0.090875576,0.014761905
"AI597479",0.042522828,0.038270423,0.02270037,0.034779582,0.039493088,0.03547619
"Fhl2",0.034148187,0.035228169,0.244648582,1.142273782,0.543271889,0.171825397
"Nck2",0.013968171,0.028850704,0.011491985,0.020765661,0.004700461,0.029603175
"1500015O10Rik",0.000631359,0.003256338,0,0.212157773,0.03281106,0
"Uxs1",0.129598226,0.118585915,0.096781751,0.202784223,0.164516129,0.133968254
"Tpp2",0.111421863,0.125059155,0.126004932,0.210232019,0.175760369,0.167460317
"Tex30",0.107153666,0.05611831,0.047706535,0.061067285,0.086589862,0.22531746
"Kdelc1",0.061933212,0.022394366,0.019087546,0.066960557,0.036221198,0.053968254
"Bivm",0.03840073,0.026016901,0.01217016,0.041647332,0.023732719,0.019206349
"Ercc5",0.084909992,0.064574648,0.054549938,0.048283063,0.099354839,0.094603175
"Gulp1",0.022867206,0.008822535,0.005178792,0.003689095,0.00843318,0
"Col3a1",0.001625359,0.109453521,0.001060419,0.012737819,0.049032258,0.016111111
"Wdr75",0.10109053,0.052985915,0.047324291,0.026450116,0.105345622,0.145238095
"Slc40a1",0.01326898,0.019746479,0.008631319,0.003201856,0.090921659,0.037460317
"Dnah7b",0.005523089,0.011166197,0.003686806,0.143155452,0.005253456,0
"Dnah7c",0.002037568,0,0.002083847,0.344315545,0,0
"Slc39a10",0.047010175,0.014805634,0.015807645,0.004153132,0.047834101,0.060952381
"Nabp1",0.311638403,0.072687324,0.235758323,0.141670534,0.075668203,0.279365079
"Myo1b",0.040422645,0.143673239,0.077743527,0.228839907,0.535437788,0.109603175
"Stat1",0.118961649,0.13284507,0.135252774,0.217169374,0.184976959,0.118174603
"Gls",0.253503783,0.165566197,0.228150432,0.207076566,0.202626728,0.272936508
"Nab1",0.115460475,0.136484507,0.073699137,0.103781903,0.05797235,0.09984127
"Mfsd6",0.146394469,0.245847887,0.188976572,0.472900232,0.446175115,0.174444444
"Inpp1",0.178497261,0.083442254,0.092034525,0.203526682,0.189953917,0.180714286
"Hibch",0.222220193,0.152123944,0.199778052,0.227935035,0.297834101,0.219285714
"Osgepl1",0.087925907,0.053571831,0.023859433,0.065707657,0.073317972,0.073571429
"Asnsd1",0.135799635,0.106602817,0.082330456,0.08587007,0.159631336,0.210952381
"Dnah7a",0.004166449,0.001594366,0.0048582,0.789976798,0.004700461,0.00984127
"Stk17b",0.039859118,0.033194366,0.03025894,0.039721578,0.039447005,0.175714286
"Gtf3c3",0.026697104,0.022929577,0.008397041,0.023457077,0.068110599,0.023174603
"Ankrd44",0.021447952,0.020540845,0.01675709,0.205452436,0.04,0.012460317
"Sf3b1",0.974829116,0.657825352,0.563292232,0.651392111,0.823179724,1.019206349
"Coq10b",0.443464649,0.296439437,0.203612824,0.215313225,0.321705069,0.503730159
"Hspd1",0.647138012,0.324923944,0.532219482,1.029582367,0.475668203,0.940634921
"Hspe1",1.376631881,0.760523944,1.194303329,1.748468677,1.357557604,1.486190476
"Mob4",0.519008609,0.359847887,0.284303329,0.335104408,0.638018433,0.635793651
"Mars2",0.020349596,0.008670423,0.016387176,0.015823666,0.021382488,0
"Satb2",0.003028959,0.003346479,0.005511714,0,0.110921659,0
"1700066M21Rik",0.010913123,0.009459155,0.006572133,0.011972158,0.008018433,0.05547619
"Tyw5",0.099355596,0.062073239,0.052872996,0.071902552,0.130230415,0.141746032
"Spats2l",0.138066788,0.172687324,0.164549938,0.323549884,0.194331797,0.266587302
"Kctd18",0.043441169,0.02611831,0.019839704,0.045290023,0.050967742,0.065634921
"Aox1",0.042084529,0.086614085,0.06107275,0.083805104,0.055069124,0.026269841
"Aox3",0.550388729,1.041594366,0.929778052,0.213781903,0.21764977,0.275873016
"Aox4",0.023193321,0.018653521,0.034401973,0.008097448,0.007557604,0
"Bzw1",0.55811114,0.266253521,0.263267571,0.26225058,0.395207373,0.940793651
"Clk1",0.804077746,0.427104225,0.501689273,0.468561485,0.467557604,0.712936508
"Ppil3",0.148802505,0.158214085,0.093341554,0.154547564,0.097557604,0.134603175
"Nif3l1",0.114876076,0.085971831,0.107644883,0.072366589,0.072672811,0.118333333
"Orc2",0.064453431,0.040664789,0.031923551,0.070812065,0.161290323,0.125555556
"Fam126b",0.043459431,0.042642254,0.044475956,0.090139211,0.109493088,0.12531746
"Ndufb3",0.857221498,1.045312676,0.660382244,1.241763341,1.4159447,1.019047619
"Cflar",0.148272893,0.14936338,0.119025894,0.139350348,0.459769585,0.232698413
"Casp8",0.075382207,0.11623662,0.124241677,0.103990719,0.186774194,0.162380952
"Trak2",0.023373337,0.035876056,0.033748459,0.023132251,0.017741935,0.03031746
"Stradb",0.051659275,0.037543662,0.0397164,0.040185615,0.042626728,0.057222222
"Tmem237",0.215671798,0.053369014,0.071676942,0.307285383,0.170645161,0.352857143
"G730003C15Rik",0.032799374,0.021070423,0.020887793,0.057610209,0.07156682,0.00984127
"Als2",0.007521524,0.011960563,0.012404439,0.008259861,0.012073733,0.005
"Fzd7",0.025940517,0.011532394,0.025524044,0.010348028,0.039723502,0.008730159
"Gm973",0.007286721,0.005994366,0.007607891,1.132296984,0.0159447,0.004047619
"Sumo1",1.46045917,0.898276056,0.821183724,0.977401392,1.493640553,1.501587302
"Nop58",0.325778763,0.137470423,0.307620222,0.159883991,0.139769585,0.542936508
"Bmpr2",0.067427602,0.079374648,0.042318126,0.059698376,0.119493088,0.066984127
"Fam117b",0.044946517,0.068698592,0.028347719,0.041763341,0.147004608,0.037936508
"Wdr12",0.117693712,0.056771831,0.064438964,0.068190255,0.069262673,0.127936508
"Carf",0.01043569,0.021509859,0.002675709,0.035382831,0.046589862,0.008888889
"Nbeal1",0.11484216,0.165842254,0.101874229,0.157262181,0.152857143,0.135079365
"Cyp20a1",0.126446648,0.176298592,0.164278668,0.181160093,0.310460829,0.187222222
"Abi2",0.039775633,0.039515493,0.035326757,0.086287703,0.056221198,0.040793651
"Raph1",0.058218106,0.076338028,0.034574599,0.14387471,0.220230415,0.132539683
"Pard3b",0.04334203,0.025695775,0.022688039,0.032412993,0.017373272,0.042857143
"Ino80d",0.070477433,0.107847887,0.071726264,0.182180974,0.191105991,0.091746032
"Ndufs1",0.317985912,0.239064789,0.218162762,0.325243619,0.333732719,0.479761905
"Eef1b2",2.372264545,1.474907042,1.241997534,0.88025522,1.958018433,2.223015873
"Mdh1b",0.004135142,0.001526761,0.000628853,0.578839907,0,0
"Fastkd2",0.062747195,0.029966197,0.036794081,0.027470998,0.037050691,0.091746032
"Klf7",0.457641534,0.128338028,0.344771887,0.264106729,0.694285714,0.500793651
"Creb1",0.085163058,0.088771831,0.059099877,0.075197216,0.158110599,0.101904762
"Mettl21a",0.115298722,0.084777465,0.096374846,0.127726218,0.047235023,0.109285714
"Ccnyl1",0.031852335,0.034349296,0.072009864,0.039280742,0.060737327,0.042857143
"Fzd5",0.045022176,0.033408451,0.058532676,0.071183295,0.053317972,0.037460317
"Plekhm3",0.010931385,0.028253521,0.012799014,0.04900232,0.009585253,0.018015873
"Idh1",0.403983825,0.828016901,0.561738594,0.1974942,0.262396313,0.346746032
"Pikfyve",0.044075137,0.050011268,0.040234279,0.017215777,0.055391705,0.020793651
"Map2",0.01932168,0.063802817,0.046646116,0.020394432,0.273870968,0.084285714
"Rpe",0.265319593,0.148766197,0.124180025,0.09262181,0.231336406,0.280634921
"Kansl1l",0.092501957,0.059205634,0.050826141,0.049350348,0.111336406,0.142460317
"Acadl",1.157130185,1.29555493,0.98027127,1.1074942,0.802119816,1.454365079
"Lancl1",0.7432455,0.302146479,0.322392109,0.285777262,0.28124424,0.890079365
"Ikzf2",0.170503522,0.300123944,0.161997534,0.163828306,0.126958525,0.207063492
"Spag16",0.006417949,0.001571831,0.00215783,0.49,0.015253456,0
"Atic",0.227101487,0.104670423,0.10108508,0.16037123,0.132119816,0.22047619
"Fn1",0.018364206,0.040095775,0.005376079,0.008584687,0.010368664,0.076587302
"Mreg",0.070790504,0.001819718,0.003538841,0.004918794,0.015529954,0.067301587
"D230017M19Rik",0.017435429,0.006287324,0.010838471,0.00900232,0.126958525,0
"Pecr",0.141408818,0.125616901,0.119013564,0.033085847,0.088571429,0.088015873
"Xrcc5",0.639851291,0.284935211,0.225745993,0.509396752,0.169124424,0.456111111
"4-Mar",0.01893556,0.0028,0.0024291,0.403085847,0.007603687,0.014365079
"Smarcal1",0.062580224,0.035025352,0.04188656,0.092366589,0.058940092,0.105634921
"Rpl37a",4.635270023,3.666225352,2.871997534,2.671856148,4.374193548,4.114444444
"Igfbp2",0.096947561,0.002523944,0.000863132,0.0274942,0,0.292301587
"Igfbp5",0.760636577,1.187397183,0.663304562,2.230858469,1.504101382,0.711666667
"Tns1",0.146389251,0.017808451,0.009260173,0.014825986,0.033548387,0.145873016
"Arpc2",2.619131229,1.737740845,1.530838471,1.640139211,2.396359447,2.786428571
"Aamp",1.324338638,0.947543662,0.960308261,1.080092807,1.025253456,1.287460317
"Pnkd",0.683975998,0.42395493,0.382885327,0.49900232,0.902764977,0.729603175
"Tmbim1",1.190790504,1.003385915,0.771479655,0.372969838,0.758064516,1.046507937
"Catip",0.010845291,0.004298592,0.012293465,1.076357309,0.020046083,0.004047619
"Ctdsp1",0.302436734,0.233295775,0.171220715,0.170324826,0.282119816,0.426111111
"Vil1",0.003276807,0,0.007583231,0.005939675,0.183917051,0.011587302
"Usp37",0.025030003,0.036969014,0.028520345,0.108491879,0.048709677,0.030555556
"Zfp142",0.026159666,0.032546479,0.022959309,0.031461717,0.062304147,0.018571429
"Bcs1l",0.11312288,0.051960563,0.068766954,0.051461717,0.103686636,0.13952381
"Rnf25",0.116258805,0.095059155,0.120961776,0.128955916,0.096497696,0.149206349
"Stk36",0.006783199,0.004935211,0.00702836,0.245174014,0.019585253,0.00968254
"Ttll4",0.01818419,0.018659155,0.027274969,0.105777262,0.010092166,0.032777778
"Wnt6",0.022976781,0.000676056,0,0,0,0.095079365
"Nhej1",0.076952779,0.052873239,0.056633785,0.044338747,0.043502304,0.146190476
"Slc23a3",0.063968171,0.122822535,0.084932182,0.030788863,0.01718894,0.068888889
"Cnppd1",0.386243152,0.214861972,0.267780518,0.249814385,0.318940092,0.351190476
"Zfand2b",0.488262458,0.391876056,0.369531443,0.293341067,0.623041475,0.508571429
"Atg9a",0.074876076,0.079098592,0.086942047,0.068955916,0.138248848,0.068412698
"Ankzf1",0.073044613,0.059757746,0.07431566,0.104988399,0.111198157,0.05047619
"Glb1l",0.023203757,0.013092958,0.03512947,0.100440835,0.024562212,0.014761905
"Stk16",0.397539786,0.302135211,0.284377312,0.478677494,0.545207373,0.728888889
"Tuba4a",0.878815549,0.608157746,1.099235512,0.33025522,0.84764977,0.828809524
"Dnajb2",0.283647274,0.193729577,0.292145499,1.100580046,0.414470046,0.233253968
"Dnpep",0.58992695,0.582405634,0.675240444,0.445150812,0.591428571,0.53015873
"Gmppa",0.31222802,0.299656338,0.471282367,0.138839907,0.255529954,0.443095238
"Chpf",0.118562484,0.136642254,0.204685573,0.243480278,0.130184332,0.16468254
"Obsl1",0.079238195,0.146191549,0.133403206,0.196798144,0.022764977,0.139365079
"Tmem198",0.020292199,0.024523944,0.038631319,0.048399072,0.110691244,0.023333333
"Inha",0.01777198,0.01915493,0.019124538,0.017169374,0.006497696,0.015634921
"Stk11ip",0.027534568,0.034923944,0.032688039,0.20812065,0.103041475,0.053650794
"Slc4a3",0.026791025,0.011261972,0.015869297,0.060533643,0.020599078,0.018174603
"Epha4",0.008358988,0.043419718,0.036103576,0.00587007,0.039953917,0.027936508
"Farsb",0.311390556,0.213216901,0.222959309,0.280765661,0.298571429,0.42468254
"Acsl3",0.278580746,0.183425352,0.160221948,0.469883991,0.140138249,0.293412698
"Scg2",0.001732325,0,0,0,0.504562212,0
"Ap1s3",0.069590399,0.054152113,0.069112207,0.022737819,0.093410138,0.123333333
"Wdfy1",0.0698539,0.041419718,0.055709001,0.218051044,0.089078341,0.053015873
"Mrpl44",0.283545526,0.218974648,0.139210851,0.242064965,0.280046083,0.33531746
"Serpine2",0.078666841,0.021047887,0.011442663,0.649675174,0.482672811,0.085
"Cul3",0.101633185,0.145369014,0.117361282,0.226171694,0.296221198,0.059126984
"Irs1",0.011301852,0.022856338,0.026325524,0,0.006635945,0
"Rhbdd1",0.050521785,0.040540845,0.033489519,0.057169374,0.068709677,0.036746032
"Mff",0.73743282,0.497194366,0.384796547,0.546867749,0.977603687,0.826190476
"Agfg1",0.145431777,0.101476056,0.062268804,0.137470998,0.141198157,0.12031746
"Daw1",0.001038351,0.00044507,0.001935882,0.368445476,0.007235023,0
"Pid1",0.019209496,0.013453521,0.01025894,0.002366589,0.008571429,0.02015873
"Dner",0.001252283,0.000659155,0.000752158,0.009814385,0.173824885,0
"Trip12",0.156373598,0.177571831,0.166979038,0.214037123,0.16516129,0.192539683
"Fbxo36",0.112499348,0.133628169,0.118581998,2.668468677,0.177788018,0.069285714
"C130026I21Rik",0.016047482,0.005549296,0.012897657,0.009791183,0.021474654,0
"Sp110",0.10109053,0.080912676,0.083834772,0.043781903,0.063963134,0.051111111
"Sp140",0.012522828,0.019149296,0.008088779,0.036171694,0.0140553,0.012142857
"Sp100",0.200036525,0.234721127,0.179593095,0.206241299,0.126682028,0.17047619
"A630001G21Rik",0.010980955,0.006597183,0.003995068,0.006705336,0.038525346,0.037936508
"Cab39",0.428468562,0.615785915,0.470098644,0.475614849,0.451612903,0.548333333
"Itm2c",1.536117923,0.867605634,0.993822441,1.060510441,1.422119816,1.141031746
"Psmd1",0.538343334,0.468490141,0.519482121,0.427981439,0.458894009,0.78547619
"Armc9",0.0377485,0.041138028,0.03270037,0.26037123,0.088617512,0.098095238
"Ncl",1.069107748,0.77228169,0.58675709,0.801415313,1.191336406,1.393095238
"Ptma",4.339911297,2.192219718,2.467225647,3.420719258,4.142534562,5.495714286
"Pde6d",0.376887555,0.246867606,0.201368681,0.465777262,0.716912442,0.667142857
"Cops7b",0.070811375,0.042349296,0.043082614,0.032064965,0.211520737,0.040396825
"Nppc",0.01699713,0.00364507,0.007953144,0,0,0.008730159
"Dis3l2",0.043597704,0.052777465,0.049901356,0.192227378,0.036543779,0.088333333
"Eif4e2",0.503882077,0.574833803,0.389346486,0.505730858,0.682672811,0.755079365
"Gigyf2",0.137860684,0.121802817,0.114660912,0.107169374,0.139262673,0.197857143
"Kcnj13",0.857208453,0.267453521,0.420160296,1.079907193,0.13156682,0.50984127
"Ngef",0.074855205,0.054242254,0.062996301,0.177587007,0.078387097,0.172936508
"Neu2",0.019900861,0.007684507,0.010480888,0.045545244,0.009447005,0
"Inpp5d",0.002134099,0.003143662,0.001454994,0.002366589,0.422672811,0
"Atg16l1",0.067884164,0.059267606,0.079704069,0.089419954,0.113870968,0.09047619
"Dgkd",0.076775372,0.035842254,0.051122072,0.126403712,0.062903226,0.059444444
"Usp40",0.033258544,0.044270423,0.035782984,0.091716937,0.07078341,0.056428571
"Hjurp",0.042512392,0.09016338,0.043686806,0.041206497,0.092258065,0.402698413
"Arl4c",0.544920428,0.410946479,0.235856967,0.307958237,0.167511521,0.701428571
"Sh3bp4",0.097798069,0.110512676,0.141911221,0.135823666,0.245115207,0.159126984
"Agap1",0.101917558,0.159250704,0.135511714,0.220649652,0.580460829,0.146349206
"Iqca",0.007124967,0.001971831,0.010172626,1.178399072,0,0
"Ackr3",0.554322985,0.098377465,0.128508015,0.077354988,0.131520737,0.530238095
"Gm28723",0.007383251,0,0,0.006914153,0,0
"Cops8",0.548432038,0.284501408,0.328323058,0.507354988,0.360414747,0.691746032
"Mlph",0.099632142,0.376478873,0.24161529,0.06812065,0.151474654,0.09468254
"Rab17",0.117085834,0.228873239,0.355635018,0.083317865,0.145207373,0.071349206
"Lrrfip1",0.28329246,0.30016338,0.205154131,0.340348028,0.407050691,0.312301587
"Ramp1",0.215168276,1.050529577,0.85540074,1.824060325,0.370414747,0.262698413
"Ube2f",0.47537438,0.48468169,0.454204686,0.55199536,0.518525346,0.492063492
"Scly",0.074782155,0.080676056,0.107139334,0.053480278,0.083317972,0.07952381
"Ilkap",0.727534568,0.440191549,0.423822441,0.602830626,0.803133641,0.813968254
"Hes6",1.314852596,0.559678873,0.815573366,1.611577726,1.671428571,1.103174603
"Per2",0.080545265,0.032253521,0.08107275,0.192645012,0.045437788,0.055079365
"Traf3ip1",0.067946778,0.055121127,0.047114673,1.220580046,0.052304147,0.073650794
"Asb1",0.02612575,0.041228169,0.04622688,0.25037123,0.014608295,0.017222222
"Hdac4",0.091805374,0.065160563,0.075104809,0.129257541,0.180737327,0.07515873
"Ndufa10",1.144440386,0.684298592,0.697595561,0.720719258,1.174470046,1.128730159
"Gpc1",0.007484999,0.007785915,0,0.002412993,0.049032258,0.011269841
"Rnpepl1",0.247411949,0.316811268,0.211812577,0.252018561,0.500230415,0.357222222
"9430060I03Rik",0.029102531,0.007695775,0.007237978,0.041322506,0.010138249,0.012857143
"Capn10",0.047247587,0.046056338,0.064796547,0.301392111,0.104976959,0.062222222
"Kif1a",0.00089486,0.000867606,0.004204686,0.019164733,0.173456221,0.004047619
"Crocc2",0.001278372,0.002321127,0.004451295,0.202157773,0,0.006746032
"Sned1",0.088875554,0.061667606,0.076621455,0.200487239,0.02921659,0.073571429
"Mterf4",0.167164101,0.11011831,0.135462392,0.366310905,0.087834101,0.345555556
"Ppp1r7",0.211896687,0.196715493,0.155659679,0.278654292,0.338479263,0.388015873
"Ano7",0.002512392,0.000878873,0.003366215,0,0.260645161,0.018015873
"Hdlbp",0.330260892,0.504073239,0.668323058,0.638700696,0.609170507,0.432936508
"2-Sep",0.080086094,0.136349296,0.100591862,0.105614849,0.170046083,0.072777778
"Farp2",0.009945213,0.014749296,0.021652281,0.021763341,0.026543779,0.020396825
"Stk25",0.370519176,0.322642254,0.334364982,0.568770302,0.649585253,0.451666667
"Bok",0.347753718,0.086129577,0.153267571,1.905081206,0.101105991,0.80015873
"Thap4",0.291534046,0.213971831,0.213723798,0.304941995,0.21764977,0.312936508
"Atg4b",0.213477694,0.181887324,0.178051788,0.130278422,0.223732719,0.357777778
"Dtymk",0.61772502,0.360828169,0.316670777,0.47225058,0.427557604,1.26
"Ing5",0.043527263,0.07195493,0.038483354,0.052529002,0.104239631,0.05952381
"D2hgdh",0.042830681,0.037847887,0.030924784,0.049651972,0.008202765,0.02452381
"Fam174a",0.478285938,0.55715493,0.324944513,1.18800464,1.347465438,0.366031746
"Slco4c1",0.036892773,0.125673239,0.098877928,0.019814385,0,0.028333333
"D1Ertd622e",0.224743021,0.125301408,0.139963009,0.508932715,0.150322581,0.262777778
"Ppip5k2",0.032812418,0.035019718,0.034993835,0.01974478,0.072304147,0.06984127
"Gin1",0.089953039,0.085267606,0.07595561,0.085522042,0.168801843,0.127619048
"Pam",0.229551265,0.453521127,0.232108508,0.136264501,0.361935484,0.183968254
"Rnf152",0.008345943,0.000991549,0,0,0.074562212,0
"Pign",0.038481607,0.017126761,0.027706535,0.03612529,0.038341014,0.024444444
"Tnfrsf11a",0.010756588,0.029729577,0.01568434,0.015452436,0.020875576,0.035555556
"Gm7160",0.014445604,0.005374648,0.016004932,0.006844548,0.066866359,0.024285714
